true_label,predicted_label,resume_text,job_description_text
0,2,summary year experience bi developer proven track record business intelligence bi data warehouse dwh data analytics related consulting projectsproven ability identify business need develop valuable solution drive accuracy process efficiencyexperienced developing implementing documenting monitoring maintaining data warehouse extract transformation etl process various industry like financial health care retail industry withsales marketing inventory management supply chain financedomainsdelivered bi reporting solution power bi reporting service ssrsexpertise indata warehousing architecturesincludingetldesignstagingtransformationsdeltachange datacapturestarschemas cube andhistoryloadingskilled writingtsql query dynamicqueries subqueries join generatingstored procedure trigger userdefined function view cursorsexperience phase software development life cycle sdlc agile methodologieshave delivered team member team lead independent consultant medium large scale project skillsdatabusinesssystemstools m sql server integrationssis analysis servicesssas metldatabases sql server netezza oracle g azuredevelopment skill tsql dax mdx cbi reporting tool power bi reporting service service ssrsdata quality standardsagile methodologyprogramming languagestsql c vb scripting educationgmr institute technologyrajam indiaexpected inbachelor scienceinformation technologygpa experiencehoneywellsr data analystsupport engineergladstonemocurrentclientciti bank irving txworking level support engineer data pipeline retail customer application azure data staginganalyzed large amount data identify trend find pattern signal hidden story within datadeveloping supporting devops repos code pipeline etls task jobsdevelopedstandardetlintegrationsto extract communityloanlocation data mainframe system implemented business rule confirm dataexperience creating managing ssa tabular model creating dimension fact tablesresponsible data administration tasksmaintenance plansperformance tuningbackup securityfor m sql server systemsprimarily involved data migration using sql sql azure azure storage azure data factory ssis powershellintegrated custom visuals based business requirement using power bi desktopdeveloped complex sql query using stored procedure common table expression ctes temporary table support power bi ssrs reportsdeveloped complex calculated measure using data analysis expression language daxembedded power bi report salesforce portal page also managed access report data individual user using rolesprovided continued maintenance development bug fix existing new power bi reportsbutler technical groupsr bi data developeropa lockaflled development data mart supply chainmarketing department along analysis,key responsibilitiescreate intricate wiring network electrical subcomponents prototype system seamless integration fuel cellpowered equipmentconduct comprehensive test diagnosis repair level individual component subsystem overall systemcollaborate generation electrical schematic detailed bill materialsparticipate safety assessment ensure alignment safety protocol prototype finalized systemsinterface engineering team ensure compliance product interface requirementsensure system longevity reliability effective maintenance planning executionregularly calibrate finetune electrical element uphold system precision stabilityoccasional travel customer partner locationsfulfill additional responsibility assigned m
0,2,profilesecure position wellestablished organization stable environment lead lasting field electrical engineeringi want gain experience part dynamic team want apply learned experience academic engineering put use learnedprofessional snapshotsa budding professional year field operation maintenance plant reactive preventive predictive maintenance report analysis executive reportingwork distribution transmission generation electricitydeep wise knowledge grid stationstechnical code facility departmentexperience enterprise resource planning projectsreport breakdown root cause equipment fault concern managementidentifies operational problem observing system functional performance resultsdevelops operational solution defining studying estimating screeningknowledge preplanning conceptual design schematic design design development construction drawing contract document construction administrationexperience making bill material group manufacturing specificationseffective communication engineering technical construction project control group assistance managerability manage complete project highest standard meticulously within specified deadline work area expertiseguest servicesinventory control proceduresmerchandising expertiseloss preventioncash register operationsproduct promotion professional experienceelectrical engineercurrentamentumjob description working electrical engineerworking generator transformer at distribution transmission coordination consultant planning electrical system utility machinery coordination tendering finalization contract electrical system supervise manage vendor engineering equipment deliverable ensure compliance project standard specification reviewing reporting project status execution project engineering involving installation commissioning testing electrical equipment battery charger vfd battery bank protection system include microprocessor based relay numerical relay also working dg set panel plant lighting dg capacity kva many troubleshoots plant electrical problem determine cause recommends option eliminating problem includes carrying test equipment daily power monitoring calculation reporting monthly basis position country pakistanelectrical engineer sale interneealstomcityjob description working alstom grid blessed opportunity alstom french consultant megapower solution alstom working different major field like alstom power alstom grid alstom transportation alstom renewable energy internee worked different grid installation kv kv kv supervision executive sale engineer alstom grid alstom grid concern grid installion industry wapda water power development authority ntdcnational transmission dispatch company pesco peshawer electricity supply company etcworking sale installation power equipment alstom manufacturer mainly,assignment detail industryit consultingservices job description business analystlevel iii job number drive innovation technology solution eclaros client looking business analystlevel iii albany ny eclaros client world largest infrastructure service provider supporting diverse industry including banking financial chemical oil gas government healthcare manufacturing retail youre challenge take chance rewarding opportunity required skill experience working complex project year leadership role business analystexperience working complex project year leadership role business analystclient focused business requirement analysis experience documentation including conducting leading requirement gathering session analyzing requirement gathered identifying documenting validating system requirement continuous integration deployment preparing proposal best fit technology based requirement elicited preferred skill experience managing identifying documenting validating system requirement focus eligibility en
0,2,profilehas master science degree management information system business intelligence concentrationhas year experience working sql server developer sql dba data analyst excellent analytical problemsolving skill work minimal supervisionstrong knowledge experience rdbms like m sql server r m access mysql tsql query stored proceduresstrong knowledge experience business intelligence ssis ssrs ssa power bi power pivot power query power view power map pivot tableexperience window server active directory administrationusers computer dns dhcpexperience data analysis visualization tool like excel tableau core qualificationsbusiness intelligence data analyticsdatabase development administrationwindows server administrationwindows azuredata warehousedata miningmicrosoft officeweb designamazon web service technical skillssql server m access m excel mysqlssis ssa ssrs power bitsql vba m access excel macrostableaurapidminer xlminer data mininghtml cs wordpress dreamweaver photoshop javascript professional experiencesql devloperdbadata analystmarket footwear fred lurie associate inccitystateresponsibilitiescreated etl package involving various data source sql server flat file excel source file etc using m ssisdeveloped data quality solution using sql server data service dqs part etlanalyzed data using using ssa excel tableau power bi tool decision making processbuilt self service business intelligence dashboard using power bi tool excelwrote tsql query data analysis reportingdeveloped report using m sql server reporting service ssrs excelhelped decision maker understand data report dashboard gain insightsinstalled administered maintained m sql server including upgrade security configuration service packsdesigned implemented maintained sql server databasesdesigned implemented table view function stored procedure trigger sql serverplanned implemented sql server security database permissionsperformed database performance analysis tuning using database engine tuning advisor sql server profiler sql server extended eventssetup highavailability part disaster recovery strategy sql server databas,opportunity quidelortho unites strength quidel corporation ortho clinical diagnostics creating worldleading vitro diagnostics company awardwinning expertise immunoassay molecular testing clinical chemistry transfusion medicine strong business country providing answer fast accurate consistent testing needed home hospital lab clinic culture put team member first prioritizes action support happiness inspiration engagement strive build meaningful connection believe employee happiness business success linked join u mission transform power diagnostics healthier future role continue grow quidelortho seeking selfdriven proactive staff electrical engineer join rd instrument platform organization provide technical responsibility sustaining engineering lifecycle management activity improvement portfolio product individual eye creating custom engineering solution wellversed rd change control process driving result within project constraint schedule cost performance quality reliability objective guidance senior staff position located rochester ny responsibility support existing product field issue root cause analysis continuous improvementsupport existing product production line via obsolescence resolution standard dropin replacement board harness electrical redesignsdrive project change control process ensuring completion activity within compliance ie formal design review fmeca review design verification emcsafety testing etcmanagedrive multiple project parallel driving result timely manner maintain production line customer satisfactionperforms workrelated duty assigned individual required minimum year experience bachelor degree electrical engineering equivalent combination education experiencedemonstrated ability technical analysis including evaluation multiple candidate solution evaluation intangiblesdemonstrated ability ass manage incoming workloadsability propose method technique evaluation criterion realize product functionalityability work well team environmentexcellent organizational skillsexcellent communication influencing conflict resolution skillsexperience technical writing english fluencyability
0,2,summarydata engineeringwith experience design development implementation support ofdata warehousingfor year experienced completesoftware development life cycle sdlcsoftware testing life cycle stlcsdlc methodology extensively worked oninformatica designer toolssource analyze warehouse designer mapping designer mapplet designer transformation developer workflow manager tool task developer worklet workflow designer workflow monitor informatica power exchange experience working using informatica insap hanaoraclems sqlteradataanddb environment hand experience migrating premise etl togoogle cloud platformgcpusing cloud native tool asbig querycloud data procgoogle cloud storagecomposerpractical understanding data modeling concept likestar schema modeling snowflake schema modeling fact dimension table also experience optimizing database querying data manipulation using sql andplsqlin oracle flat file sql server database experienced implementingchange data capture cdcusing informatica power center oracle sap system experienced debugging mapping analyzing data flow evaluating transformation experienced performance tuning data flow source target session mappingsidentifying resolving performance bottleneck various stagesusing technique like database tuning session partitioning experienced test strategy developing test plan detail test case writing test script decomposing business requirement developing test scenario support quality deliverable involved test planning execution various test phasesunit testsystem user acceptance testing expert inanalyzing designing developing installing configuringanddeployingms sql server suite product business intelligence sql server reporting service sql server analysis service sql server integration service performed data profiling data cleansing data conversion exception handling data matching usinginformatica idqexcellent communication skill good organizational skill selfmotivated hardworking ability grasp quickly learn fast open new technology skill toolsetl tool informatica power center power exchange informatica data quality power connect sap bw power connect jms power connect ibm mq series power connect mainframe dts mdm erwinscheduling tidal uc controlm autosys opconoracle sap hana m sql server snowflake mongodb teradata db awspython java sql unix unix shell script html xml json microsoft office apache spark kafka kubernetes hive scaladata analysis data management data warehouse big data plsql rdbms nosql vertica spark kafka oozie mavendebugging coding designing quality analysis etl sap bwaws cloud tool ec elastic loadbalancers elastic container service docker container elastic beanstalk cloud front elastic file system rds dynamo db d,gaming business analyst experience yr location bellevue usa responsibility ability understand vast amount data identify fix data issue strong database data warehousing concept strong tsql data analysis presentation data insight generation strong reporting using power bi power apps excel ability succeed fastpaced dynamic business environment excellent technical ana
0,1,summarydynamic motivated professional around year experience big data engineer expertise designing data intensive application using hadoop ecosystem big data analytical cloud data engineering data warehouse data mart data visualization reporting data quality solution depth knowledge hadoop architecture component like yarn hdfs name node data node job tracker application master resource manager task tracker map reduce programming paradigmextensive experience hadoop led development enterprise level solution utilizing hadoop component apache spark mapreduce hdfs sqoop pig hive hbase oozie flume nifi kafka zookeeper yarnprofound experience performing data ingestion data processing transformation enrichment aggregationsstrong knowledge architecture distributed system parallel processing indepth understanding mapreduce programming paradigm spark execution frameworkexperienced spark improving performance optimization existing algorithm hadoop using spark context sparksql dataframe api spark streaming mllib pair rdd worked explicitly pyspark scala handled ingestion data different data source hdfs using sqoop flume perform transformation using hive map reduce loading data hdfsmanaged sqoop job incremental load populate hive external table experience importing streaming data hdfs using flume source flume sink transforming data using flume interceptorsexperience oozie workflow scheduler manage hadoop job direct acyclic graph dag action control flowsimplemented security requirement hadoop integrating kerberos authentication infrastructure kdc server setup creating realm domain managingexperience partition bucketing concept hive designed managed external table hive optimize performance experience different file format like avro parquet orc json xml expertise creating debugging scheduling monitoring job using airflow oozieexperienced using common operator airflow python operator bash operator google cloud storage download operator google cloud storage object sensorhandson experience handling database issue connection sql nosql database mongodb hbase cassandra sql server postgresql created java apps handle data mongodb hbase used phoenix create sql layer hbaseexperience designing creating rdbms table view user created data type index stored procedure cursor trigger transactionsexpert designing etl data flow using creating mappingsworkflows extract data sql server data migration transformation oracleaccessexcel sheet using sql server ssis expert designing parallel job using various stage like join merge lookup remove duplicate filter dataset lookup file set complex flat file modify aggregator xmlhandson experience amazon ec amazon amazon rds vpc iam amazon elastic load balancing auto scaling cloudwatch sn s sqs lambda emr service aws familycreated,job descriptionrole electrical engineer pc designlocation remotejob type full timepermanent job summary echo power engineering opportunity experienced electrical power engineer looking career growth new opportunity incumbent position responsible performing design installation complex equipment upgrade project power plant mediumhigh voltage substation hybrid position design work completed mostly home onsite work completed power plant substation performing design data gathering installation testingoccasional travel throughout united state may required candidate live within one hour commercial airportduties responsibilitiesprotection system design work perform field data collection develop dc schematic drawing ac elementary drawing physical drawing bill material relay setting develop review wiring diagram cableconduit schedule front panel layout develop review asbuilt drawingscontrol system programming design work develop control system architecture point list plc ladder logic hmi screen configuration develop review interconnectwiring diagram develop re
0,2,career overviewhighly skilled software quality assurance engineer year experience testing diverse software product strong test automation troubleshooting skill qualificationsexpert unixlinux perl python shell scripting sql mysql oracle xmlproficient java javascript xml html dom junit testng work experiencetosenior software qa engineerapple incmelbournefldebugged diverse kind problem whole advertising platform includes several backend ad server specific function ui interface used advertisersused hadoop pig script hive python mine specific ad impression click data huge grid advertising data feedused firebug web developer tool debug web page ad problemsused mysql oracle db sequel pro sql developer tool inhouse tool get contract information necessary debugging problemsguaranteed delivery advertising worked gd guaranteed delivery group yahoo internet advertising platform apt functional integration backend testing various gd featuresmade steady contribution success gd executing large variety feature developing automated test perl xml java using eclipse idecontributed launch velocity project improving ci continuous integration speed time helped quick turnaround time patch release cyclewrote tool perl like parsing log helped debugging gd problemssuccessfully released large number core feature gd servingdelivered signoffs gdfe ad cm rise beap su cucreated test plan test casesran test analyzed failuresfiled bug using bugzilareported test result using hudsonused svn git source code controlmaintained enhanced regression test suitesran ee testsagile experience sprint planning daily scrum meeting sprint retrospective group discussion board tested activity logging tracking notification email attachment feature group appdeveloped web test using selenium rc junit java javascript python htmltested backend server using python checking sql data schema data integrity correctnessautomated source build deployment package different test vm machine using perlsaved test case result testlinkused perforce source control bugzila bug reporting eclipseepic idetosenior software qa engineerapple incmishawakainneo database appliance,assignment detail industryit consultingservices job description business analystlevel iii job number drive innovation technology solution eclaros client looking business analystlevel iii albany ny eclaros client world largest infrastructure service provider supporting diverse industry including banking financial chemical oil gas government healthcare manufacturing retail youre challenge take chance rewarding opportunity required skill experience working complex project year leadership role business analystexperience working complex project year leadership role business analystclient focused business requirement analysis experience documentation including conducting leading requirement gathering session analyzing requirement gathered identifying documenting validating system requirement continuous integration deployment preparing proposal best fit technology based requirement elicited preferred skill experience managing identifying documenting validating system requirement focus eligibility en
0,1,summaryto obtain position business education administrative marketing skill make significant contribution employer make difference life customer assist highlightsms officecustomer servicemarketing tool developmentoffice administration educationmiami dade collegehialeahflexpected inmay associate artsaccountinggpaaccountingmiami dade collegehialeahflexpected injuly bachelor sciencemanagement supervisiongpagpa management supervision gpa experiencevolunteers america greater new orleanspayroll data entry clerkdenham springslamaintains payroll information collecting calculating entering data processing medical delivery ticket ongoing maintains payroll operation following policy procedure reporting needed changesmaintains employee confidence protects payroll operation keeping information confidentialcontributes team effort accomplishing related result neededanalyzing information data entry skill attention detail confidentiality thoroughness general math skill financial software reporting skill verbal communication organizationemplicityfinancial invoice bookkeeperirvinecadevelops system account financial transaction establishing chart account defining bookkeeping policy proceduresmaintains subsidiary account verifying allocating posting transactionsbalances subsidiary account reconciling entriesmaintains general ledger transferring subsidiary account summariesbalances general ledger preparing trial balance reconciling entriesmaintains historical record filing documentsprepares financial report collecting analyzing summarizing account information trendscomplies federal state local legal requirement studying requirement enforcing adherence requirement filing report advising management needed actionscontributes team effort accomplishing related result neededaircraft owner pilot associationbookkeeperfrederickmdtemp assignment invoice preparer gather data vendor invoice ensure billing information accurate well collect information receiving stocking department verify material invoice received companyreview invoice appropriate documentation approval prior payment ensure pricing accuracy resolve billing inaccuraciesrecords information bookkeeping record invoice datathis usually involved data entry quickbookssort distribute incoming mailmerit medical system inctelemarketercastatedeliver prepared sale talk reading script describe product service order persuade potential customer purchase product service make donationexplain product service price answer question customersobtain customer information name address payment method enter order computersrecord name address purchase reaction prospect contactedobtain name telephone number potential customer source telephone directory magazine reply card list purchased organization adjust sale script better target need interest specific individualsanswer telephone call potential customer solicited advertisementstelephone write letter respond correspondence customer follow initial sale contactsmaintain record contact account ordersmarriott vacation worldwidemember service representativemiamifloperate telephone switchboard answer screen forward call providing information,personal development becoming best growth exploring new skill opportunity office accruent call grow without limit proud offer employee resource coaching support necessary achieve growth without limit personal professional life explore path take want work engineering team engineering team vital success current emerging software development part team able deliver enhancement customizations new existing product make impact business customer continue expand product suite look innovative team member persevere everchanging environment technology goal optimize product make sure customer mission ready software engineer responsible coding testing implementing product accruents maintenance connection enterprise asset management software suite responsibility include mentoring entry level software associate reviewing technical requirement developing code variety programming language webbased enterprise application ideal candidate highly motivated passion technology creative problem solving selfdriven enjoy working team environment entrepreneurial spirit enjoy creating innovative solution sophisticated problem accruent may fit role working onwith maintenance connection product within asset management service industry maintenance connection software optimizes maintenance operation delivering critical insight centralized data needed better decisionmaking lower cost total compliance federal state reporting indirect cost audit sustainability requirement position report directly engineering manager youll make difference create code meet design specification follows standard easy maintain required make suggestion new designsperform design testing protocol ensure product fully testedensure enhancement bug fix new product documentedwork various team organization ensure appropriate project requirement metmentor entry level software associate engineering company best practicesability teach nontechnical customersother team member information codeparticipate development team responsible developing quality softwarecreate product using testdriven design approachability carry policy procedure established team department company largeconsistently demonstrate accruents value grit integrity drive excellence result orientation winning attitude humility bring table bachelor degree computer science equivalent experience year professional software development experienceexpertise following javascript nodejs ecosystem html cssexperience net framework mvc entity framework odata react reduxsqllikerelational database design usageclear understanding software development practice lifecyclessolid understanding objectoriented conceptsknowledge familiarity rest apisselfreliant motivated selfstarterproject task oriented focus detailsability work well within group individually project preferred skillsexperience experience industry best practice agile development methodologiesan appreciation unit testing testdriven development tddcuriosity new technology languagesfamiliarity developing enterpriselevel saas salesforce servicenow etc please note
0,2,professional summaryresultsoriented innovative senior software engineer year experience easily communicates complex technical requirement nontechnical stakeholder excellent leadership record leading development team enterprisewide development project skillsprogramming languagesc net java jdk java se jee technology including jdbc thread wpf mvvm methodologycloud technologiesmicrosoft azure app service sql azure service bus blob storageweb technologieshtml cs javascript ajax restful apis jquery angularjs emberjs bootstrap jsondatabasesmicrosoft sql server azure cosmos db oracle mysql dbagilescrum methodologysource version control git work historytoleadsr software engineercorptaxchicagoilresponsible endtoend project delivery product architectcommunicated project plan tracking detail status update risk mitigation plan crossfunctional teamsreviewed project specification designed technology solution met performance expectationsdesigned coded tested debugged documented migration software using agile development practicesimproved system performance proactive adjustment resolving bugstrained mentored junior developer engineer teaching skill migrating working improve overall team performancebuilt outstanding dynamic team software engineer developer significantly boosted overall success organizationtosenior software engineercambium learning grouprestonvaworked software development testing team member design develop robust solution meet client requirement functionality scalability performanceestablished modularized architecture reduced build dependency build time coordinated engineer evaluate improve software hardware interfacesexhibited strong technical aptitude application expertise resulting optimized performance continuous improvement recommendation product innovationtosoftware engineerlt in,companyfounded lee kum kee hong kongbased global food company specializes creating condiment sauce promote chinese cuisine worldwide product choose lee kum kee take mystery cooking authentic delicious asian food comfort kitchen lee kum kee committed providing authentic innovative condiment sauce featuring highest quality ingredient armed unique management culture stringent quality control superb innovative product coupled centurylong brand reputation lee kum kee achieved unanimous recognition numerous prestigious award lee kum kee usa inc division lee kum kee international holding ltd headquarters manufacturing facility southern california employee looking best brightest talent join company work together bring next level successbenefitsmedical dental life insurance covered companyk retirement plan company matchtwo week vacationsten paid holiday position summary business analyst responsible managing maintaining sap hana platform generating running sale report ac nielsen report preparing presentation performing ad hoc business analytics assignment position analyze conduct product sale channel review identify opportunity review product performance additionally position make feasible recommendation team manager vp strategic planning aimed enhancing category effectiveness overall business performance essential function reasonable accommodation may made enable individual disability perform essential function conduct data analysis generate insightful report support sale product development logistics operation team decisionmaking processesdesign develop manage report dashboard reporting portal integrate data multiple source tool essential measuring progress sale performance key performance indicator various business initiativesmaintain support ac nielsen sale data sap product data sap hana sale data use data create report enable manager monitor sale product performance effectivelycollaborate stakeholder assist budgeting process monitor performance variance budget regularly provide actionable recommendation address deviationsperform ad hoc duty task assigned contributing overall efficiency success organization competency problemsolvinglogicalcritical thinkingdetailorientedplanning org
0,2,summarydetail oriented team focused epidemiologist year experience working epidemiologist statistician public health agency skillsstatistical analysis coding sa r sql epiinfodata visualization tableau arc gismicrosoft suite excel access word experiencetocurrentepidemiologistdata analystcalifornia department public healthcitystatecurrent epidemiologist epidemiology surveillance team within covid california department public health cdph response responsible maintaining providing casebased surveillance epidemiologic data covid case state californiagenerated daily weekly report identifying covid trend including case rate death rate test positivity health equity measuresmonitored data quality death duplicate reinfection data worked individual county partnersled effort create process deduplicating covid reinfection data working closely data team responding feedback individual countiesassigned mpox emergency response week produced daily report visualization using sa r led effort improve lgbtqia representation datacreated staff roster using sa several different team emergency covid response combined multiple datasets created new dataset unique variable keyassisted coding covid racial equity analysis sastoresearch statistician ivhawaii department healthcitystatedevelopmental disability division research statistician responsible submitting annual report national agency consulting data need assisting division new project providing data quality controlanalyzed variety data source including fiscal data medicaid claim demographic datacoordinated effort transition entire division new database system trained staff data analysis concept method use microsoft excel new systemrecommended data quality improvement policy standardsassisted legislative report generated frequent data report division directorlead ppe distribution effort provider across state hawaii covid pandemic division assigned responsibility allocating,responsibility design develop software using design pattern best practice assist development highlevel design solution architecture participation development testing approval complex software controlled electromechanical system gather document software project requirement solution troubleshooting performing problem analysis fix bug plan execute software package verification validation testing activity preparation software regulatory documentation including software documentation manual installation instruction etc participate design review project meeting timecost budgeting communicate different party customer vendor internal engineering manufacturing ensure software application meet customer requirement quality standard meeting project schedule deadline budget order software tool service required project development perform duty assi
0,2,professional summaryproactive performancedriven professional year experience industry investment banking domainproficient integration various data source multiple relational database like oracleg oraclegi sybase staging area data warehouse includes developing plsql procedure package trigger bulk collection cursor view object performance tuning data warehouse environmentdata warehousing etl experience using informatica powercenter client tool mapping designer repository manager workflow managermonitor server tool repository server managerproficient unix shell scripting automation various process hand experience server setup host file automate database refresh help perlcgi scriptsdeveloping web page application using html cs javascript form validation also using ajax php scripting get back data oracle dbexperience using automation scheduling tool like autosys controlmknowledge hand informatica etl tool loading huge data fileshandson experience across stage software development life cycle sdlc including business requirement analysis data mapping build unit testing system integration user acceptance testingexperience working onshoreoffshore development modelsstrong time management skill leading multiple project deadline minimal supervisionrecognized highly appreciated consistent success knowledge flexibility area expertisewindows ntxp unix msdosetl tool informatica power center designer workflow manager workflow monitor repository manager informatica serverdatabases oracle ggii sybaselanguages sql plsql unix shell script perl html java scripting phpscheduling tool autosys controlm work experiencedata warehouse developertocurrentnd century technologiesbothellwacustomer warehouse environment cwe group fidelity focusing providing analytical data various business groupsthis data help business community increasing fidelity business retail institutional areasthe data constitutes various customer accumulated various sourcesmajor responsibility include impact analysis support production support activity install planning help answer business adhoc requestsrole responsibility providing resolution issue raised usersmonitoring providing batch support daily monthly batchesconduct regular meeting check weekly monthly installprovide month end batch support provide oncall supportenhancement existing application provide functionalityidentify long running process tune sameunix script used ftp file vendor site update data file loading data using etlinformatica process data various vendorsused sqldevelopertoad creating type plsql object like table index package trigger sequence stored proceduresoptimized existing long running process run faster usage bulk loader hint limit bulk loader used explain plan analyze long running query degree parallel make query run fastercreate new web application html cs javascript form validation host web application window,primary location melbourne florida vsoft consulting currently hiring application software engineering v premier client melbourne florida education experience year experience yearsbachelors degree computer science stem major science technology engineering math year experience architecture software design cloud technologiesproven understanding software system level design pattern using java related software ecosystemsneed experienced application architect design engineer experienced building cloud native application using microservice event driven architecture desired handson experience cloud native technology deployment customer engagementproven experience designing building microservicesexperience red hat technology quarkus red hat sso rhelexperience distributed sql system message system amqp kafkaexperience rally jira defectwork tracking tool capable generating agile metric report burnup burndown velocity etc interpreting result larger audience knowledge skill ability advanced understanding kubernetes software design pattern ha building observable microservicesability understand technology stack impact final productsuperior knowledge software development life cycle strong collaboration history quality engineering dev ops teamsstrong problemsolving ability capable articulating specific technical topic assignment others ability break complex problem estimate level effortunderstanding microservice based message driven architecturesexcellent communication skill ability interface senior leadership confidence clarityskilled providing oversight mentoring team member show ability effectively delegate workable work minimal supervisionable work well global team including timezone flexibility youll job responsibility lead coordinate domain technical business discussion relative architecture direction across product functional groupapply cloud native architecture utilizes microservices software development principle event driven architecture
